序号,条文编号,法律全称,标题,条文原文,keywords,scenario_tags,用途分类,完成状态
165,民法典第497条,中华人民共和国民法典,格式条款无效,"有下列情形之一的，该格式条款无效：（一）具有本法第一编第六章第三节和本法第五百零六条规定的无效情形；（二）提供格式条款一方不合理地免除或者减轻其责任、加重对方责任、限制对方主要权利；（三）提供格式条款一方排除对方主要权利。","格式条款无效,免除责任,加重责任,排除权利","格式条款,合同效力",风险评分,待录入JSON
166,民法典第498条,中华人民共和国民法典,格式条款解释,"对格式条款的理解发生争议的，应当按照通常理解予以解释。对格式条款有两种以上解释的，应当作出不利于提供格式条款一方的解释。","格式条款解释,通常理解,不利解释","格式条款",风险评分,待录入JSON
167,民法典第500条,中华人民共和国民法典,缔约过失责任,"当事人在订立合同过程中有下列情形之一，造成对方损失的，应当承担赔偿责任：（一）假借订立合同，恶意进行磋商；（二）故意隐瞒与订立合同有关的重要事实或者提供虚假情况；（三）有其他违背诚信原则的行为。","缔约过失,恶意磋商,隐瞒事实,诚信原则","缔约过失,违约责任",被告识别,待录入JSON
168,民法典第522条,中华人民共和国民法典,向第三人履行,"当事人约定由债务人向第三人履行债务，债务人未向第三人履行债务或者履行债务不符合约定的，应当向债权人承担违约责任。","向第三人履行,第三人请求权","合同履行",被告识别,待录入JSON
169,民法典第523条,中华人民共和国民法典,由第三人履行,"当事人约定由第三人向债权人履行债务，第三人不履行债务或者履行债务不符合约定的，债务人应当向债权人承担违约责任。","第三人履行,债务人责任","合同履行",被告识别,待录入JSON
170,民法典第524条,中华人民共和国民法典,第三人代为履行,"债务人不履行债务，第三人对履行该债务具有合法利益的，第三人有权向债权人代为履行。债权人接受第三人履行后，其对债务人的债权转让给第三人。","第三人代为履行,合法利益,债权转让","合同履行,代为清偿",被告识别,待录入JSON
171,民法典第525条,中华人民共和国民法典,同时履行抗辩权,"当事人互负债务，没有先后履行顺序的，应当同时履行。一方在对方履行之前有权拒绝其履行请求。一方在对方履行债务不符合约定时，有权拒绝其相应的履行请求。","同时履行,抗辩权,拒绝履行","合同履行,抗辩",风险评分,待录入JSON
172,民法典第526条,中华人民共和国民法典,先履行抗辩权,"当事人互负债务，有先后履行顺序，应当先履行债务一方未履行的，后履行一方有权拒绝其履行请求。先履行一方履行债务不符合约定的，后履行一方有权拒绝其相应的履行请求。","先履行抗辩,拒绝履行","合同履行,抗辩",风险评分,待录入JSON
173,民法典第527条,中华人民共和国民法典,不安抗辩权,"应当先履行债务的当事人，有确切证据证明对方有下列情形之一的，可以中止履行：（一）经营状况严重恶化；（二）转移财产、抽逃资金，以逃避债务；（三）丧失商业信誉；（四）有丧失或者可能丧失履行债务能力的其他情形。","不安抗辩,中止履行,经营恶化,逃避债务","合同履行,抗辩",风险评分,待录入JSON
174,民法典第533条,中华人民共和国民法典,情势变更,"合同成立后，合同的基础条件发生了当事人在订立合同时无法预见的、不属于商业风险的重大变化，继续履行合同对于当事人一方明显不公平的，受不利影响的当事人可以与对方重新协商；在合理期限内协商不成的，当事人可以请求人民法院或者仲裁机构变更或者解除合同。","情势变更,重大变化,明显不公平,重新协商","合同履行,情势变更",风险评分,待录入JSON
175,民法典第563条,中华人民共和国民法典,合同法定解除,"有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。","合同解除,不可抗力,预期违约,迟延履行","合同解除,违约责任",被告识别,待录入JSON
176,民法典第565条,中华人民共和国民法典,解除权行使,"当事人一方依法主张解除合同的，应当通知对方。合同自通知到达对方时解除。对方对解除合同有异议的，任何一方当事人均可以请求人民法院或者仲裁机构确认解除行为的效力。","解除通知,到达生效,自动解除,异议","合同解除",程序依据,待录入JSON
177,民法典第566条,中华人民共和国民法典,解除的后果,"合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。合同因违约解除的，解除权人可以请求违约方承担违约责任。","恢复原状,补救措施,赔偿损失,违约责任","合同解除,违约责任",被告识别,待录入JSON
178,民法典第578条,中华人民共和国民法典,预期违约责任,"当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。","预期违约,明示毁约,默示毁约","违约责任",被告识别,待录入JSON
179,民法典第580条,中华人民共和国民法典,非金钱债务的继续履行,"当事人一方不履行非金钱债务或者履行非金钱债务不符合约定的，对方可以请求履行，但是有下列情形之一的除外：（一）法律上或者事实上不能履行；（二）债务的标的不适于强制履行或者履行费用过高；（三）债权人在合理期限内未请求履行。","非金钱债务,继续履行,履行不能,履行费用过高","违约责任,继续履行",被告识别,待录入JSON
180,民法典第585条,中华人民共和国民法典,违约金,"当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。","违约金,损失赔偿,增加减少","违约责任,违约金",风险评分,待录入JSON
181,民法典第586条,中华人民共和国民法典,定金,"当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。定金的数额由当事人约定；但是，不得超过主合同标的额的百分之二十，超过部分不产生定金的效力。","定金,定金合同,百分之二十","违约责任,定金",风险评分,待录入JSON
182,民法典第587条,中华人民共和国民法典,定金罚则,"债务人履行债务的，定金应当抵作价款或者收回。给付定金的一方不履行债务或者履行债务不符合约定，致使不能实现合同目的的，无权请求返还定金；收受定金的一方不履行债务或者履行债务不符合约定，致使不能实现合同目的的，应当双倍返还定金。","定金罚则,无权返还,双倍返还","违约责任,定金",被告识别,待录入JSON
183,民法典第588条,中华人民共和国民法典,违约金与定金竞合,"当事人既约定违约金，又约定定金的，一方违约时，对方可以选择适用违约金或者定金条款。定金不足以弥补一方违约造成的损失的，对方可以请求赔偿超过定金数额的损失。","违约金,定金竞合,选择适用","违约责任",风险评分,待录入JSON
184,民法典第589条,中华人民共和国民法典,债权人受领迟延,"债务人按照约定履行债务，债权人无正当理由拒绝受领的，债务人可以请求债权人赔偿增加的费用。在债权人受领迟延期间，债务人无须支付利息。","受领迟延,增加费用,利息中止","合同履行",风险评分,待录入JSON
185,民法典第590条,中华人民共和国民法典,不可抗力,"当事人一方因不可抗力不能履行合同的，根据不可抗力的影响，部分或者全部免除责任。因不可抗力不能履行合同的，应当及时通知对方，以减轻可能给对方造成的损失，并应当在合理期限内提供证明。当事人迟延履行后发生不可抗力的，不免除其违约责任。","不可抗力,免责,通知义务,迟延履行不免责","违约责任,不可抗力",风险评分,待录入JSON
186,民法典第591条,中华人民共和国民法典,减损规则,"当事人一方违约后，对方应当采取适当措施防止损失的扩大；没有采取适当措施致使损失扩大的，不得就扩大的损失请求赔偿。当事人因防止损失扩大而支出的合理费用，由违约方负担。","减损规则,防止扩大,合理费用","违约责任",风险评分,待录入JSON
187,民法典第592条,中华人民共和国民法典,与有过失,"当事人都违反合同的，应当各自承担相应的责任。当事人一方违约造成对方损失，对方对损失的发生有过错的，可以减少相应的损失赔偿额。","双方违约,与有过失,减少赔偿","违约责任",风险评分,待录入JSON
188,民法典第593条,中华人民共和国民法典,因第三人原因违约,"当事人一方因第三人的原因造成违约的，应当依法向对方承担违约责任。当事人一方和第三人之间的纠纷，依照法律规定或者按照约定处理。","第三人原因,违约责任,追偿","违约责任",被告识别,待录入JSON
189,民法典第668条,中华人民共和国民法典,借款合同形式,"借款合同应当采用书面形式，但是自然人之间借款另有约定的除外。借款合同的内容一般包括借款种类、币种、用途、数额、利率、期限和还款方式等条款。","借款合同,书面形式,利率,还款方式","合同形式",程序依据,待录入JSON
190,民法典第679条,中华人民共和国民法典,自然人借款成立,"自然人之间的借款合同，自贷款人提供借款时成立。","自然人借款,实践合同,提供借款","借款合同,合同成立",程序依据,待录入JSON
191,民法典第680条,中华人民共和国民法典,禁止高利贷,"禁止高利放贷，借款的利率不得违反国家有关规定。借款合同对支付利息没有约定的，视为没有利息。借款合同对支付利息约定不明确，自然人之间借款的，视为没有利息。","高利贷,利率限制,无约定无利息","借款合同,利息",风险评分,待录入JSON
192,民法典第795条,中华人民共和国民法典,施工合同内容,"施工合同的内容一般包括工程范围、建设工期、中间交工工程的开工和竣工时间、工程质量、工程造价、技术资料交付时间、材料和设备供应责任、拨款和结算、竣工验收、质量保修范围和质量保证期、相互协作等条款。","施工合同,工程范围,工程造价,拨款结算,竣工验收","建设工程合同,合同内容",风险评分,待录入JSON
193,民法典第798条,中华人民共和国民法典,隐蔽工程检查,"隐蔽工程在隐蔽以前，承包人应当通知发包人检查。发包人没有及时检查的，承包人可以顺延工程日期，并有权请求赔偿停工、窝工等损失。","隐蔽工程,发包人检查,顺延工期,停工损失","建设工程合同",被告识别,待录入JSON
194,民法典第799条,中华人民共和国民法典,竣工验收,"建设工程竣工后，发包人应当根据施工图纸及说明书、国家颁发的施工验收规范和质量检验标准及时进行验收。验收合格的，发包人应当按照约定支付价款，并接收该建设工程。建设工程竣工经验收合格后，方可交付使用。","竣工验收,验收合格,支付价款,交付使用","建设工程合同,竣工验收",风险评分,待录入JSON
195,民法典第800条,中华人民共和国民法典,勘察设计质量责任,"勘察、设计的质量不符合要求或者未按照期限提交勘察、设计文件拖延工期，造成发包人损失的，勘察人、设计人应当继续完善勘察、设计，减收或者免收勘察、设计费并赔偿损失。","勘察设计,质量责任,拖延工期,赔偿损失","建设工程合同,质量责任",被告识别,待录入JSON
196,民法典第801条,中华人民共和国民法典,施工人质量责任,"因施工人的原因致使建设工程质量不符合约定的，发包人有权请求施工人在合理期限内无偿修理或者返工、改建。经过修理或者返工、改建后，造成逾期交付的，施工人应当承担违约责任。","施工质量,无偿修理,返工改建,逾期违约责任","建设工程合同,质量责任",被告识别,待录入JSON
197,民法典第802条,中华人民共和国民法典,承包人质量侵权责任,"因承包人的原因致使建设工程在合理使用期限内造成人身损害和财产损失的，承包人应当承担赔偿责任。","承包人责任,质量缺陷,人身财产损害,赔偿责任","建设工程合同,侵权责任",被告识别,待录入JSON
198,民法典第808条,中华人民共和国民法典,建设工程适用承揽规定,"本章没有规定的，适用承揽合同的有关规定。","建设工程合同,承揽合同,参照适用","建设工程合同",程序依据,待录入JSON
199,民法典第831条,中华人民共和国民法典,收货人检验,"收货人提货时应当按照约定的期限检验货物。对检验货物的期限没有约定或者约定不明确，应当在合理期限内检验货物。收货人在约定的期限或者合理期限内对货物的数量、毁损等未提出异议的，视为承运人已经按照运输单证的记载交付的初步证据。","收货人检验,检验期限,异议期","运输合同,检验",风险评分,待录入JSON
200,民法典第832条,中华人民共和国民法典,承运人赔偿责任,"承运人对运输过程中货物的毁损、灭失承担赔偿责任。但是，承运人证明货物的毁损、灭失是因不可抗力、货物本身的自然性质或者合理损耗以及托运人、收货人的过错造成的，不承担赔偿责任。","承运人责任,货物毁损,免责事由","运输合同,承运责任",被告识别,待录入JSON
201,民法典第833条,中华人民共和国民法典,货物毁损赔偿额,"货物的毁损、灭失的赔偿额，当事人有约定的，按照其约定；没有约定或者约定不明确，按照交付或者应当交付时货物到达地的市场价格计算。","货物毁损,赔偿额,市场价格","运输合同,赔偿计算",风险评分,待录入JSON
202,民法典第835条,中华人民共和国民法典,货物因不可抗力灭失,"货物在运输过程中因不可抗力灭失，未收取运费的，承运人不得请求支付运费；已经收取运费的，托运人可以请求返还。","不可抗力,货物灭失,运费返还","运输合同,不可抗力",风险评分,待录入JSON
203,民法典第836条,中华人民共和国民法典,承运人留置权,"托运人或者收货人不支付运费、保管费或者其他费用的，承运人对相应的运输货物享有留置权，但是当事人另有约定的除外。","运费未付,留置权,运输货物","运输合同,留置权",被告识别,待录入JSON
204,民法典第837条,中华人民共和国民法典,货物提存,"收货人不明或者收货人无正当理由拒绝受领货物的，承运人依法可以提存货物。","收货人不明,拒绝受领,提存","运输合同,提存",程序依据,待录入JSON
