序号,条文编号,法律全称,标题,条文原文,keywords,scenario_tags,用途分类,完成状态
078,民诉法第65条,中华人民共和国民事诉讼法,离婚案件本人出庭,"离婚案件有诉讼代理人的，本人除不能表达意思的以外，仍应出庭；确因特殊情况无法出庭的，必须向人民法院提交书面意见。","离婚案件,本人出庭,书面意见","诉讼程序",程序依据,待录入JSON
079,民诉法第69条,中华人民共和国民事诉讼法,证据收据,"人民法院收到当事人提交的证据材料，应当出具收据，写明证据名称、页数、份数、原件或者复印件以及收到时间等，并由经办人员签名或者盖章。","证据收据,证据材料,收件凭证","证据材料,证据提交",风险评分,待录入JSON
080,民诉法第71条,中华人民共和国民事诉讼法,证据质证,"证据应当在法庭上出示，并由当事人互相质证。对涉及国家秘密、商业秘密和个人隐私的证据应当保密，需要在法庭出示的，不得在公开开庭时出示。","证据出示,质证,国家秘密,商业秘密,个人隐私","证据材料,质证",程序依据,待录入JSON
081,民诉法第72条,中华人民共和国民事诉讼法,公证证明的效力,"经过法定程序公证证明的法律事实和文书，人民法院应当作为认定事实的根据，但有相反证据足以推翻公证证明的除外。","公证证明,认定事实,相反证据","证据材料,公证",风险评分,待录入JSON
082,民诉法第74条,中华人民共和国民事诉讼法,视听资料审查,"人民法院对视听资料，应当辨别真伪，并结合本案的其他证据，审查确定能否作为认定事实的根据。","视听资料,辨别真伪,结合其他证据","证据材料,视听资料",风险评分,待录入JSON
083,民诉法第76条,中华人民共和国民事诉讼法,证人出庭作证,"经人民法院通知，证人应当出庭作证。有下列情形之一的，经人民法院许可，可以通过书面证言、视听传输技术或者视听资料等方式作证：（一）因健康原因不能出庭的；（二）因路途遥远，交通不便不能出庭的；（三）因自然灾害等不可抗力不能出庭的；（四）其他有正当理由不能出庭的。","证人出庭,书面证言,视听传输,正当理由","证人证言,证据材料",程序依据,待录入JSON
084,民诉法第77条,中华人民共和国民事诉讼法,证人费用,"证人因履行出庭作证义务而支出的交通、住宿、就餐等必要费用以及误工损失，由败诉一方当事人负担。当事人申请证人作证的，由该当事人先行垫付。","证人费用,交通住宿,误工损失,败诉方负担","证人证言,诉讼费用",程序依据,待录入JSON
085,民诉法第78条,中华人民共和国民事诉讼法,当事人陈述审查,"人民法院对当事人的陈述，应当结合本案的其他证据，审查确定能否作为认定事实的根据。当事人拒绝陈述的，不影响人民法院根据证据认定案件事实。","当事人陈述,结合其他证据,拒绝陈述","证据材料,当事人陈述",风险评分,待录入JSON
086,民诉法第85条,中华人民共和国民事诉讼法,期间计算,"期间包括法定期间和人民法院指定的期间。期间以时、日、月、年计算。期间开始的时和日，不计算在期间内。期间届满的最后一日是法定休假日的，以法定休假日后的第一日为期间届满的日期。期间不包括在途时间，诉讼文书在期满前交邮的，不算过期。","期间计算,法定期间,指定期间,在途时间","期间,期限计算",程序依据,待录入JSON
087,民诉法第86条,中华人民共和国民事诉讼法,期限顺延,"当事人因不可抗拒的事由或者其他正当理由耽误期限的，在障碍消除后的十日内，可以申请顺延期限，是否准许，由人民法院决定。","期限顺延,不可抗拒事由,正当理由","期限",程序依据,待录入JSON
088,民诉法第87条,中华人民共和国民事诉讼法,送达回证,"送达诉讼文书必须有送达回证，由受送达人在送达回证上记明收到日期，签名或者盖章。受送达人在送达回证上的签收日期为送达日期。","送达回证,签收日期,送达日期","送达",程序依据,待录入JSON
089,民诉法第88条,中华人民共和国民事诉讼法,直接送达,"送达诉讼文书，应当直接送交受送达人。受送达人是公民的，本人不在交他的同住成年家属签收；受送达人是法人或者其他组织的，应当由法人的法定代表人、其他组织的主要负责人或者该法人、组织负责收件的人签收；受送达人有诉讼代理人的，可以送交其代理人签收。","直接送达,同住成年家属,法定代表人,诉讼代理人","送达",程序依据,待录入JSON
090,民诉法第89条,中华人民共和国民事诉讼法,留置送达,"受送达人或者他的同住成年家属拒绝接收诉讼文书的，送达人可以邀请有关基层组织或者所在单位的代表到场，说明情况，在送达回证上记明拒收事由和日期，由送达人、见证人签名或者盖章，把诉讼文书留在受送达人的住所；也可以把诉讼文书留在受送达人的住所，并采用拍照、录像等方式记录送达过程，即视为送达。","留置送达,拒绝接收,见证人,拍照录像","送达",程序依据,待录入JSON
091,民诉法第90条,中华人民共和国民事诉讼法,电子送达,"经受送达人同意，人民法院可以采用能够确认其收悉的电子方式送达诉讼文书。通过电子方式送达的判决书、裁定书、调解书，受送达人提出需要纸质文书的，人民法院应当提供。以送达信息到达受送达人特定系统的日期为送达日期。","电子送达,确认收悉,纸质文书","送达,在线诉讼",程序依据,待录入JSON
092,民诉法第95条,中华人民共和国民事诉讼法,公告送达,"受送达人下落不明，或者用本节规定的其他方式无法送达的，公告送达。自发出公告之日起，经过三十日，即视为送达。公告送达，应当在案卷中记明原因和经过。","公告送达,下落不明,三十日","送达",程序依据,待录入JSON
093,民诉法第96条,中华人民共和国民事诉讼法,调解原则,"人民法院审理民事案件，根据当事人自愿的原则，在事实清楚的基础上，分清是非，进行调解。","自愿调解,事实清楚,分清是非","调解,纠纷化解",治理建议,待录入JSON
094,民诉法第97条,中华人民共和国民事诉讼法,调解方式,"人民法院进行调解，可以由审判员一人主持，也可以由合议庭主持，并尽可能就地进行。人民法院进行调解，可以用简便方式通知当事人、证人到庭。","调解主持,就地调解,简便通知","调解",治理建议,待录入JSON
095,民诉法第98条,中华人民共和国民事诉讼法,协助调解,"人民法院进行调解，可以邀请有关单位和个人协助。被邀请的单位和个人，应当协助人民法院进行调解。","协助调解,邀请协助","调解",治理建议,待录入JSON
096,民诉法第8条,中华人民共和国民事诉讼法,当事人诉讼权利平等,"民事诉讼当事人有平等的诉讼权利。人民法院审理民事案件，应当保障和便利当事人行使诉讼权利，对当事人在适用法律上一律平等。","诉讼权利,平等,保障行使","诉讼原则",程序依据,待录入JSON
097,民诉法第9条,中华人民共和国民事诉讼法,调解原则,"人民法院审理民事案件，应当根据自愿和合法的原则进行调解；调解不成的，应当及时判决。","调解,自愿合法,及时判决","纠纷化解,调解",治理建议,待录入JSON
098,民诉法第13条,中华人民共和国民事诉讼法,诚信原则与处分原则,"民事诉讼应当遵循诚信原则。当事人有权在法律规定的范围内处分自己的民事权利和诉讼权利。","诚信原则,处分权,诉讼权利","诉讼原则",程序依据,待录入JSON
099,民诉法第14条,中华人民共和国民事诉讼法,检察监督原则,"人民检察院有权对民事诉讼实行法律监督。","检察监督,法律监督","检察监督",程序依据,待录入JSON
100,民诉法第15条,中华人民共和国民事诉讼法,支持起诉原则,"机关、社会团体、企业事业单位对损害国家、集体或者个人民事权益的行为，可以支持受损害的单位或者个人向人民法院起诉。","支持起诉,机关支持,社会团体支持,企业事业单位支持","支持起诉条件,主体认定","被告识别,程序依据",待录入JSON
101,民诉法第16条,中华人民共和国民事诉讼法,在线诉讼,"经当事人同意，民事诉讼活动可以通过信息网络平台在线进行。民事诉讼活动通过信息网络平台在线进行的，与线下诉讼活动具有同等法律效力。","在线诉讼,信息网络平台,电子诉讼","在线诉讼",程序依据,待录入JSON
102,民诉法第22条,中华人民共和国民事诉讼法,一般地域管辖,"对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。对法人或者其他组织提起的民事诉讼，由被告住所地人民法院管辖。","被告住所地,经常居住地,管辖","管辖审查",程序依据,待录入JSON
103,民诉法第24条,中华人民共和国民事诉讼法,合同纠纷管辖,"因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。","合同纠纷,被告住所地,合同履行地,管辖","管辖审查,合同履行",程序依据,待录入JSON
104,民诉法第35条,中华人民共和国民事诉讼法,协议管辖,"合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。","协议管辖,书面协议,实际联系地","管辖审查",程序依据,待录入JSON
105,民诉法第52条,中华人民共和国民事诉讼法,当事人诉讼权利,"当事人有权委托代理人，提出回避申请，收集、提供证据，进行辩论，请求调解，提起上诉，申请执行。当事人可以查阅本案有关材料，并可以复制本案有关材料和法律文书。","委托代理人,收集证据,辩论,上诉,申请执行,查阅案卷","诉讼权利",程序依据,待录入JSON
106,民诉法第53条,中华人民共和国民事诉讼法,自行和解,"双方当事人可以自行和解。","和解,自行和解","纠纷化解",治理建议,待录入JSON
107,民诉法第54条,中华人民共和国民事诉讼法,诉讼请求的变更,"原告可以放弃或者变更诉讼请求。被告可以承认或者反驳诉讼请求，有权提起反诉。","放弃诉讼请求,变更诉讼请求,承认反驳,反诉","诉讼请求",程序依据,待录入JSON
108,民诉法第55条,中华人民共和国民事诉讼法,共同诉讼,"当事人一方或者双方为二人以上，其诉讼标的是共同的，或者诉讼标的是同一种类、人民法院认为可以合并审理并经当事人同意的，为共同诉讼。","共同诉讼,诉讼标的,合并审理","共同诉讼",被告识别,待录入JSON
109,民诉法第56条,中华人民共和国民事诉讼法,代表人诉讼,"当事人一方人数众多的共同诉讼，可以由当事人推选代表人进行诉讼。代表人的诉讼行为对其所代表的当事人发生效力，但代表人变更、放弃诉讼请求或者承认对方当事人的诉讼请求，进行和解，必须经被代表的当事人同意。","人数众多,代表人诉讼,推选代表人","群体性纠纷,代表人",被告识别,待录入JSON
110,民诉法第58条,中华人民共和国民事诉讼法,公益诉讼与检察支持起诉,"对污染环境、侵害众多消费者合法权益等损害社会公共利益的行为，法律规定的机关和有关组织可以向人民法院提起诉讼。人民检察院在履行职责中发现破坏生态环境和资源保护、食品药品安全领域侵害众多消费者合法权益等损害社会公共利益的行为，在没有前款规定的机关和组织或者前款规定的机关和组织不提起诉讼的情况下，可以向人民法院提起诉讼。前款规定的机关或者组织提起诉讼的，人民检察院可以支持起诉。","公益诉讼,社会公共利益,检察支持起诉,生态环境,食品药品安全","公益诉讼,支持起诉条件",被告识别,待录入JSON
111,民诉法第61条,中华人民共和国民事诉讼法,委托代理人,"当事人、法定代理人可以委托一至二人作为诉讼代理人。下列人员可以被委托为诉讼代理人：（一）律师、基层法律服务工作者；（二）当事人的近亲属或者工作人员；（三）当事人所在社区、单位以及有关社会团体推荐的公民。","委托代理人,律师,基层法律服务工作者,近亲属,社会团体推荐","诉讼代理,法律援助",程序依据,待录入JSON
112,民诉法第62条,中华人民共和国民事诉讼法,授权委托书,"委托他人代为诉讼，必须向人民法院提交由委托人签名或者盖章的授权委托书。授权委托书必须记明委托事项和权限。诉讼代理人代为承认、放弃、变更诉讼请求，进行和解，提起反诉或者上诉，必须有委托人的特别授权。","授权委托书,委托权限,特别授权","诉讼代理,文书材料",文书生成,待录入JSON
113,民诉法第66条,中华人民共和国民事诉讼法,证据种类,"证据包括：（一）当事人的陈述；（二）书证；（三）物证；（四）视听资料；（五）电子数据；（六）证人证言；（七）鉴定意见；（八）勘验笔录。证据必须查证属实，才能作为认定事实的根据。","证据,当事人的陈述,书证,物证,视听资料,电子数据,证人证言,鉴定意见,勘验笔录","证据材料,证据种类",风险评分,待录入JSON
114,民诉法第67条,中华人民共和国民事诉讼法,举证责任,"当事人对自己提出的主张，有责任提供证据。当事人及其诉讼代理人因客观原因不能自行收集的证据，或者人民法院认为审理案件需要的证据，人民法院应当调查收集。人民法院应当按照法定程序，全面地、客观地审查核实证据。","举证责任,提供证据,调查收集,审查核实","证据材料,举证责任",风险评分,待录入JSON
115,民诉法第68条,中华人民共和国民事诉讼法,举证期限,"当事人对自己提出的主张应当及时提供证据。人民法院根据当事人的主张和案件审理情况，确定当事人应当提供的证据及其期限。当事人在该期限内提供证据确有困难的，可以向人民法院申请延长期限，人民法院根据当事人的申请适当延长。当事人逾期提供证据的，人民法院应当责令其说明理由；拒不说明理由或者理由不成立的，人民法院根据不同情形可以不予采纳该证据，或者采纳该证据但予以训诫、罚款。","举证期限,延期申请,逾期举证,证据失权","证据材料,举证时限",风险评分,待录入JSON
116,民诉法第70条,中华人民共和国民事诉讼法,法院调查取证,"人民法院有权向有关单位和个人调查取证，有关单位和个人不得拒绝。人民法院对有关单位和个人提出的证明文书，应当辨别真伪，审查确定其效力。","调查取证,协助义务,证明文书","证据收集,法院调查",程序依据,待录入JSON
117,民诉法第73条,中华人民共和国民事诉讼法,书证物证提交,"书证应当提交原件。物证应当提交原物。提交原件或者原物确有困难的，可以提交复制品、照片、副本、节录本。","书证原件,物证原物,复制品,照片副本","证据材料,证据提交",风险评分,待录入JSON
118,民诉法第75条,中华人民共和国民事诉讼法,证人作证义务,"凡是知道案件情况的单位和个人，都有义务出庭作证。有关单位的负责人应当支持证人作证。不能正确表达意思的人，不能作证。","证人,作证义务,出庭作证","证人证言,证据材料",程序依据,待录入JSON
119,民诉法第79条,中华人民共和国民事诉讼法,司法鉴定,"当事人可以就查明事实的专门性问题向人民法院申请鉴定。当事人申请鉴定的，由双方当事人协商确定具备资格的鉴定人；协商不成的，由人民法院指定。当事人未申请鉴定，人民法院对专门性问题认为需要鉴定的，应当委托具备资格的鉴定人进行鉴定。","鉴定,专门性问题,鉴定人","证据材料,鉴定",程序依据,待录入JSON
120,民诉法第82条,中华人民共和国民事诉讼法,专家辅助人,"当事人可以申请人民法院通知有专门知识的人出庭，就鉴定人作出的鉴定意见或者专业问题提出意见。","专家辅助人,专业问题,鉴定意见","证据材料,专家意见",程序依据,待录入JSON
121,民诉法第84条,中华人民共和国民事诉讼法,证据保全,"在证据可能灭失或者以后难以取得的情况下，当事人可以在诉讼过程中向人民法院申请保全证据，人民法院也可以主动采取保全措施。因情况紧急，在证据可能灭失或者以后难以取得的情况下，利害关系人可以在提起诉讼或者申请仲裁前向证据所在地、被申请人住所地或者对案件有管辖权的人民法院申请保全证据。","证据保全,情况紧急,保全措施","证据保全,证据完整性",风险评分,待录入JSON
122,民诉法第103条,中华人民共和国民事诉讼法,诉讼保全,"人民法院对于可能因当事人一方的行为或者其他原因，使判决难以执行或者造成当事人其他损害的案件，根据对方当事人的申请，可以裁定对其财产进行保全、责令其作出一定行为或者禁止其作出一定行为；当事人没有提出申请的，人民法院在必要时也可以裁定采取保全措施。人民法院采取保全措施，可以责令申请人提供担保，申请人不提供担保的，裁定驳回申请。人民法院接受申请后，对情况紧急的，必须在四十八小时内作出裁定；裁定采取保全措施的，应当立即开始执行。","财产保全,行为保全,担保,情况紧急","保全措施,财产保全",治理建议,待录入JSON
123,民诉法第104条,中华人民共和国民事诉讼法,诉前保全,"利害关系人因情况紧急，不立即申请保全将会使其合法权益受到难以弥补的损害的，可以在提起诉讼或者申请仲裁前向被保全财产所在地、被申请人住所地或者对案件有管辖权的人民法院申请采取保全措施。申请人应当提供担保，不提供担保的，裁定驳回申请。人民法院接受申请后，必须在四十八小时内作出裁定；裁定采取保全措施的，应当立即开始执行。申请人在人民法院采取保全措施后三十日内不依法提起诉讼或者申请仲裁的，人民法院应当解除保全。","诉前保全,情况紧急,担保,三十日起诉","保全措施,诉前保全",治理建议,待录入JSON
124,民诉法第109条,中华人民共和国民事诉讼法,先予执行,"人民法院对下列案件，根据当事人的申请，可以裁定先予执行：（一）追索赡养费、扶养费、抚养费、抚恤金、医疗费用的；（二）追索劳动报酬的；（三）因情况紧急需要先予执行的。","先予执行,劳动报酬,追索工资,情况紧急","先予执行,工资支付",治理建议,待录入JSON
125,民诉法第110条,中华人民共和国民事诉讼法,先予执行条件,"人民法院裁定先予执行的，应当符合下列条件：（一）当事人之间权利义务关系明确，不先予执行将严重影响申请人的生活或者生产经营的；（二）被申请人有履行能力。人民法院可以责令申请人提供担保，申请人不提供担保的，驳回申请。申请人败诉的，应当赔偿被申请人因先予执行遭受的财产损失。","权利义务明确,严重影响生活,履行能力,担保","先予执行,工资支付",治理建议,待录入JSON
126,民诉法第122条,中华人民共和国民事诉讼法,起诉条件,"起诉必须符合下列条件：（一）原告是与本案有直接利害关系的公民、法人和其他组织；（二）有明确的被告；（三）有具体的诉讼请求和事实、理由；（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。","起诉条件,直接利害关系,明确被告,具体诉讼请求,事实理由,管辖","起诉条件,原告资格,被告明确,诉讼请求",程序依据,待录入JSON
127,民诉法第123条,中华人民共和国民事诉讼法,起诉方式,"起诉应当向人民法院递交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。","起诉状,副本,口头起诉","起诉方式,起诉状",文书生成,待录入JSON
128,民诉法第124条,中华人民共和国民事诉讼法,起诉状内容,"起诉状应当记明下列事项：（一）原告的姓名、性别、年龄、民族、职业、工作单位、住所、联系方式，法人或者其他组织的名称、住所和法定代表人或者主要负责人的姓名、职务、联系方式；（二）被告的姓名、性别、工作单位、住所等信息，法人或者其他组织的名称、住所等信息；（三）诉讼请求和所根据的事实与理由；（四）证据和证据来源，证人姓名和住所。","起诉状内容,原告信息,被告信息,诉讼请求,事实理由,证据来源,证人","文书生成,起诉状,事实与理由",文书生成,待录入JSON
129,民诉法第125条,中华人民共和国民事诉讼法,先行调解,"当事人起诉到人民法院的民事纠纷，适宜调解的，先行调解，但当事人拒绝调解的除外。","先行调解,拒绝调解","调解,纠纷化解",治理建议,待录入JSON
130,民诉法第126条,中华人民共和国民事诉讼法,立案期限,"人民法院应当保障当事人依照法律规定享有的起诉权利。对符合本法第一百二十二条的起诉，必须受理。符合起诉条件的，应当在七日内立案，并通知当事人；不符合起诉条件的，应当在七日内作出裁定书，不予受理；原告对裁定不服的，可以提起上诉。","立案,七日,不予受理,上诉","立案审查",程序依据,待录入JSON
131,民诉法第128条,中华人民共和国民事诉讼法,送达与答辩,"人民法院应当在立案之日起五日内将起诉状副本发送被告，被告应当在收到之日起十五日内提出答辩状。答辩状应当记明被告的姓名、性别、年龄、民族、职业、工作单位、住所、联系方式；法人或者其他组织的名称、住所和法定代表人或者主要负责人的姓名、职务、联系方式。人民法院应当在收到答辩状之日起五日内将答辩状副本发送原告。被告不提出答辩状的，不影响人民法院审理。","起诉状副本,答辩状,答辩期限,送达","诉讼程序,答辩",程序依据,待录入JSON
132,民诉法第152条,中华人民共和国民事诉讼法,审理期限,"人民法院适用普通程序审理的案件，应当在立案之日起六个月内审结。有特殊情况需要延长的，经本院院长批准，可以延长六个月；还需要延长的，报请上级人民法院批准。","审理期限,六个月,延长","诉讼程序",程序依据,待录入JSON
133,民诉法第160条,中华人民共和国民事诉讼法,简易程序适用,"基层人民法院和它派出的法庭审理事实清楚、权利义务关系明确、争议不大的简单的民事案件，适用本章规定。基层人民法院和它派出的法庭审理前款规定以外的民事案件，当事人双方也可以约定适用简易程序。","简易程序,事实清楚,权利义务明确,争议不大","简易程序",程序依据,待录入JSON
134,民诉法第161条,中华人民共和国民事诉讼法,简易程序起诉,"对简单的民事案件，原告可以口头起诉。当事人双方可以同时到基层人民法院或者它派出的法庭，请求解决纠纷。基层人民法院或者它派出的法庭可以当即审理，也可以另定日期审理。","口头起诉,当即审理","简易程序,口头起诉",程序依据,待录入JSON
135,民诉法第164条,中华人民共和国民事诉讼法,简易程序审限,"人民法院适用简易程序审理案件，应当在立案之日起三个月内审结。有特殊情况需要延长的，经本院院长批准，可以延长一个月。","简易程序审限,三个月","简易程序",程序依据,待录入JSON
136,民诉法第165条,中华人民共和国民事诉讼法,小额诉讼程序,"基层人民法院和它派出的法庭审理事实清楚、权利义务关系明确、争议不大的简单金钱给付民事案件，标的额为各省、自治区、直辖市上年度就业人员年平均工资百分之五十以下的，适用小额诉讼的程序审理，实行一审终审。","小额诉讼,金钱给付,一审终审","小额诉讼,一审终审",程序依据,待录入JSON
137,民诉法第171条,中华人民共和国民事诉讼法,上诉期限,"当事人不服地方人民法院第一审判决的，有权在判决书送达之日起十五日内向上一级人民法院提起上诉。当事人不服地方人民法院第一审裁定的，有权在裁定书送达之日起十日内向上一级人民法院提起上诉。","上诉期限,判决十五日,裁定十日","上诉,审级",程序依据,待录入JSON
138,民诉法第217条,中华人民共和国民事诉讼法,再审不中止执行,"按照审判监督程序决定再审的案件，裁定中止原判决、裁定、调解书的执行，但追索赡养费、扶养费、抚养费、抚恤金、医疗费用、劳动报酬等案件，可以不中止执行。","再审,不中止执行,追索劳动报酬","劳动报酬,执行保障",治理建议,待录入JSON
139,民诉法第250条,中华人民共和国民事诉讼法,申请执行时效,"申请执行的期间为二年。申请执行时效的中止、中断，适用法律有关诉讼时效中止、中断的规定。前款规定的期间，从法律文书规定履行期间的最后一日起计算；法律文书规定分期履行的，从最后一期履行期限届满之日起计算；法律文书未规定履行期间的，从法律文书生效之日起计算。","申请执行,二年时效,中止中断","执行时效",预警触发,待录入JSON
140,民诉法第253条,中华人民共和国民事诉讼法,迟延履行利息,"被执行人未按判决、裁定和其他法律文书指定的期间履行给付金钱义务的，应当加倍支付迟延履行期间的债务利息。","迟延履行,金钱给付,加倍利息","执行,迟延利息",被告识别,待录入JSON
