010,工资条例第18条,保障农民工工资支付条例,用工单位对违法派遣的清偿责任,"用工单位使用个人、不具备合法经营资格的单位或者未依法取得劳务派遣许可证的单位派遣的农民工，拖欠农民工工资的，由用工单位清偿，并可以依法进行追偿。","用工单位,派遣,清偿责任","被告追加,用工主体认定",被告识别,待录入JSON
011,工资条例第19条,保障农民工工资支付条例,发包与挂靠经营中的清偿责任,"用人单位将工作任务发包给个人或者不具备合法经营资格的单位，导致拖欠所招用农民工工资的，依照有关法律规定执行。用人单位允许个人、不具备合法经营资格或者未取得相应资质的单位以用人单位的名义对外经营，导致拖欠所招用农民工工资的，由用人单位清偿，并可以依法进行追偿。","发包,挂靠经营,清偿责任,个人承包","发包方责任,被告追加,挂靠风险",被告识别,待录入JSON
012,工资条例第20条,保障农民工工资支付条例,出资人清偿责任,"合伙企业、个人独资企业、个体经济组织等用人单位拖欠农民工工资的，应当依法予以清偿；不清偿的，由出资人依法清偿。","出资人,清偿责任,穿透追偿","被告追加",被告识别,待录入JSON
013,工资条例第24条,保障农民工工资支付条例,工程款支付担保与人工费用拨付,"建设单位应当向施工单位提供工程款支付担保。建设单位与施工总承包单位依法订立书面工程施工合同，应当约定工程款计量周期、工程款进度结算办法以及人工费用拨付周期，并按照保障农民工工资按时足额支付的要求约定人工费用。人工费用拨付周期不得超过1个月。","工程建设,支付担保,人工费用,拨付周期","发包方责任,工资支付,资金保障",风险评分,待录入JSON
014,工资条例第26条,保障农民工工资支付条例,农民工工资专用账户,"施工总承包单位应当按照有关规定开设农民工工资专用账户，专项用于支付该工程建设项目农民工工资。开设、使用农民工工资专用账户有关资料应当由施工总承包单位妥善保存备查。","农民工工资,工程建设,工资专用账户,专款专用","工资支付,合规审查",风险评分,待录入JSON
015,工资条例第28条,保障农民工工资支付条例,实名制管理与用工台账,"施工总承包单位或者分包单位应当依法与所招用的农民工订立劳动合同并进行用工实名登记。未与施工总承包单位或者分包单位订立劳动合同并进行用工实名登记的人员，不得进入项目现场施工。施工总承包单位应当在工程项目部配备劳资专管员，对分包单位劳动用工实施监督管理，掌握施工现场用工、考勤、工资支付等情况。施工总承包单位、分包单位应当建立用工管理台账，并保存至工程完工且工资全部结清后至少3年。","花名册,考勤,实名制管理,劳动合同,劳资专管员,用工台账","证据材料,合规审查",风险评分,待录入JSON
016,工资条例第29条,保障农民工工资支付条例,建设单位先行垫付责任,"建设单位应当按照合同约定及时拨付工程款，并将人工费用及时足额拨付至农民工工资专用账户，加强对施工总承包单位按时足额支付农民工工资的监督。因建设单位未按照合同约定及时拨付工程款导致农民工工资拖欠的，建设单位应当以未结清的工程款为限先行垫付被拖欠的农民工工资。发生农民工集体讨薪事件的，建设单位应当会同施工总承包单位及时处理，并向项目所在地人力资源社会保障行政部门和相关行业工程建设主管部门报告有关情况。","农民工工资,工程建设,责任识别,建设单位,工程款拨付,先行垫付,集体讨薪","发包方责任,承包链条,工资支付,被告追加,群体性事件","被告识别,预警触发",待录入JSON
017,工资条例第30条,保障农民工工资支付条例,施工总承包单位先行清偿责任,"分包单位对所招用农民工的实名制管理和工资支付负直接责任。施工总承包单位对分包单位劳动用工和工资发放等情况进行监督。分包单位拖欠农民工工资的，由施工总承包单位先行清偿，再依法进行追偿。工程建设项目转包，拖欠农民工工资的，由施工总承包单位先行清偿，再依法进行追偿。","农民工工资,工程建设,责任识别,总包单位,分包单位,先行清偿,转包","承包链条,工资支付,被告追加,连带责任",被告识别,待录入JSON
序号,条文编号,法律全称,标题,条文原文,keywords,scenario_tags,用途分类,完成状态
018,工资条例第31条,保障农民工工资支付条例,总包代发工资制度,"工程建设领域推行分包单位农民工工资委托施工总承包单位代发制度。分包单位应当按月考核农民工工作量并编制工资支付表，经农民工本人签字确认后，与当月工程进度等情况一并交施工总承包单位。施工总承包单位根据分包单位编制的工资支付表，通过农民工工资专用账户直接将工资支付到农民工本人的银行账户，并向分包单位提供代发工资凭证。用于支付农民工工资的银行账户所绑定的农民工本人社会保障卡或者银行卡，用人单位或者其他人员不得以任何理由扣押或者变相扣押。","农民工工资,工程建设,总包代发,工资支付表,专用账户,银行卡扣押","工资支付,合规审查,证据材料",风险评分,待录入JSON
019,工资条例第32条,保障农民工工资支付条例,工资保证金制度,"施工总承包单位应当按照有关规定存储工资保证金，专项用于支付为所承包工程提供劳动的农民工被拖欠的工资。工资保证金实行差异化存储办法，对一定时期内未发生工资拖欠的单位实行减免措施，对发生工资拖欠的单位适当提高存储比例。工资保证金可以用金融机构保函替代。","农民工工资,工程建设,工资保证金,存储义务,差异化存储,保函替代","工资支付,合规审查,资金保障",风险评分,待录入JSON
020,工资条例第33条,保障农民工工资支付条例,专用账户与保证金保护,"除法律另有规定外，农民工工资专用账户资金和工资保证金不得因支付为本项目提供劳动的农民工工资之外的原因被查封、冻结或者划拨。","农民工工资,专用账户,工资保证金,查封冻结","工资支付,资金保障",程序依据,待录入JSON
021,工资条例第34条,保障农民工工资支付条例,维权信息告示牌,"施工总承包单位应当在施工现场醒目位置设立维权信息告示牌，明示下列事项：（一）建设单位、施工总承包单位及所在项目部、分包单位、相关行业工程建设主管部门、劳资专管员等基本信息；（二）当地最低工资标准、工资支付日期等基本信息；（三）相关行业工程建设主管部门和劳动保障监察投诉举报电话、劳动争议调解仲裁申请渠道、法律援助申请渠道、公共法律服务热线等信息。","工程建设,维权告示牌,投诉举报电话,法律援助","维权渠道,合规审查",风险评分,待录入JSON
022,工资条例第35条,保障农民工工资支付条例,争议不影响工资支付,"建设单位与施工总承包单位或者承包单位与分包单位因工程数量、质量、造价等产生争议的，建设单位不得因争议不按照本条例第二十四条的规定拨付工程款中的人工费用，施工总承包单位也不得因争议不按照规定代发工资。","工程建设,工程争议,人工费用,代发工资","工资支付,发包方责任",预警触发,待录入JSON
023,工资条例第36条,保障农民工工资支付条例,违法发包分包的清偿责任,"建设单位或者施工总承包单位将建设工程发包或者分包给个人或者不具备合法经营资格的单位，导致拖欠农民工工资的，由建设单位或者施工总承包单位清偿。施工单位允许其他单位和个人以施工单位的名义对外承揽建设工程，导致拖欠农民工工资的，由施工单位清偿。","农民工工资,工程建设,责任识别,违法发包,违法分包,挂靠经营,清偿责任","发包方责任,承包链条,被告追加,挂靠风险",被告识别,待录入JSON
024,工资条例第37条,保障农民工工资支付条例,违法建设的清偿责任,"工程建设项目违反国土空间规划、工程建设等法律法规，导致拖欠农民工工资的，由建设单位清偿。","工程建设,责任识别,违法建设,建设单位,清偿责任","发包方责任,被告追加",被告识别,待录入JSON
025,工资条例第38条,保障农民工工资支付条例,监控预警平台,"县级以上地方人民政府应当建立农民工工资支付监控预警平台，实现人力资源社会保障、发展改革、司法行政、财政、住房城乡建设、交通运输、水利等部门的工程项目审批、资金落实、施工许可、劳动用工、工资支付等信息及时共享。人力资源社会保障行政部门根据水电燃气供应、物业管理、信贷、税收等反映企业生产经营相关指标的变化情况，及时监控和预警工资支付隐患并做好防范工作。","农民工工资,工程建设,监控预警平台,信息共享,工资支付隐患","工资支付,预警机制,数据接入",预警触发,待录入JSON
026,工资条例第39条,保障农民工工资支付条例,监督检查内容,"人力资源社会保障行政部门、相关行业工程建设主管部门和其他有关部门应当按照职责，加强对用人单位与农民工签订劳动合同、工资支付以及工程建设项目实行农民工实名制管理、农民工工资专用账户管理、施工总承包单位代发工资、工资保证金存储、维权信息公示等情况的监督检查，预防和减少拖欠农民工工资行为的发生。","监督检查,劳动合同,实名制管理,专用账户,代发工资,工资保证金,维权公示","合规审查,证据材料",治理建议,待录入JSON
027,工资条例第40条,保障农民工工资支付条例,查询金融账户权限,"人力资源社会保障行政部门在查处拖欠农民工工资案件时，需要依法查询相关单位金融账户和相关当事人拥有房产、车辆等情况的，应当经设区的市级以上地方人民政府人力资源社会保障行政部门负责人批准，有关金融机构和登记部门应当予以配合。","金融账户查询,房产查询,车辆查询,查处权限","执法权限",程序依据,待录入JSON
028,工资条例第41条,保障农民工工资支付条例,公安协助与刑事移送,"人力资源社会保障行政部门在查处拖欠农民工工资案件时，发生用人单位拒不配合调查、清偿责任主体及相关当事人无法联系等情形的，可以请求公安机关和其他有关部门协助处理。人力资源社会保障行政部门发现拖欠农民工工资的违法行为涉嫌构成拒不支付劳动报酬罪的，应当按照有关规定及时移送公安机关审查并作出决定。","拒不配合,无法联系,公安协助,拒不支付劳动报酬罪,刑事移送","执法协助,刑事责任",预警触发,待录入JSON
029,工资条例第42条,保障农民工工资支付条例,申请法院强制执行,"人力资源社会保障行政部门作出责令支付被拖欠的农民工工资的决定，相关单位不支付的，可以依法申请人民法院强制执行。","责令支付,强制执行","执法手段",程序依据,待录入JSON
030,工资条例第43条,保障农民工工资支付条例,规范建设市场秩序,"相关行业工程建设主管部门应当依法规范本领域建设市场秩序，对违法发包、转包、违法分包、挂靠等行为进行查处，并对导致拖欠农民工工资的违法行为及时予以制止、纠正。","工程建设,市场秩序,违法发包,转包,违法分包,挂靠","承包链条,合规审查",治理建议,待录入JSON
031,工资条例第44条,保障农民工工资支付条例,政府投资项目资金监督,"财政部门、审计机关和相关行业工程建设主管部门按照职责，依法对政府投资项目建设单位按照工程施工合同约定向农民工工资专用账户拨付资金情况进行监督。","政府投资项目,资金拨付,专用账户,监督","资金保障,合规审查",风险评分,待录入JSON
032,工资条例第45条,保障农民工工资支付条例,法律援助,"司法行政部门和法律援助机构应当将农民工列为法律援助的重点对象，并依法为请求支付工资的农民工提供便捷的法律援助。公共法律服务相关机构应当积极参与相关诉讼、咨询、调解等活动，帮助解决拖欠农民工工资问题。","法律援助,公共法律服务,诉讼,咨询,调解","维权渠道",程序依据,待录入JSON
033,工资条例第46条,保障农民工工资支付条例,普法宣传,"人力资源社会保障行政部门、相关行业工程建设主管部门和其他有关部门应当按照"谁执法谁普法"普法责任制的要求，通过以案释法等多种形式，加大对保障农民工工资支付相关法律法规的普及宣传。","普法宣传,以案释法,普法责任制","普法推送",治理建议,待录入JSON
034,工资条例第47条,保障农民工工资支付条例,守法诚信档案,"人力资源社会保障行政部门应当建立用人单位及相关责任人劳动保障守法诚信档案，对用人单位开展守法诚信等级评价。用人单位有严重拖欠农民工工资违法行为的，由人力资源社会保障行政部门向社会公布，必要时可以通过召开新闻发布会等形式向媒体公开曝光。","诚信档案,等级评价,严重拖欠,社会公布,公开曝光","信用监管,失信惩戒",风险评分,待录入JSON
035,工资条例第48条,保障农民工工资支付条例,失信联合惩戒,"用人单位拖欠农民工工资，情节严重或者造成严重不良社会影响的，有关部门应当将该用人单位及其法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员列入拖欠农民工工资失信联合惩戒对象名单，在政府资金支持、政府采购、招投标、融资贷款、市场准入、税收优惠、评优评先、交通出行等方面依法依规予以限制。","责任识别,失信惩戒,黑名单,联合惩戒,政府资金,招投标,融资贷款,市场准入","信用监管,惩戒措施",治理建议,待录入JSON
036,工资条例第49条,保障农民工工资支付条例,建设单位新建项目限制,"建设单位未依法提供工程款支付担保或者政府投资项目拖欠工程款，导致拖欠农民工工资的，县级以上地方人民政府应当限制其新建项目，并记入信用记录，纳入国家信用信息系统进行公示。","工程建设,建设单位,支付担保,新建项目限制,信用记录","发包方责任,惩戒措施",治理建议,待录入JSON
037,工资条例第50条,保障农民工工资支付条例,举证责任倒置,"农民工与用人单位就拖欠工资存在争议，用人单位应当提供依法由其保存的劳动合同、职工名册、工资支付台账和清单等材料；不提供的，依法承担不利后果。","证据,举证责任,劳动合同,职工名册,工资台账,工资清单,不利后果","证据材料,证据完整性,举证责任",预警触发,待录入JSON
038,工资条例第51条,保障农民工工资支付条例,工会监督,"工会依法维护农民工工资权益，对用人单位工资支付情况进行监督；发现拖欠农民工工资的，可以要求用人单位改正，拒不改正的，可以请求人力资源社会保障行政部门和其他有关部门依法处理。","工会,监督,要求改正","维权渠道",程序依据,待录入JSON
039,工资条例第52条,保障农民工工资支付条例,非法讨要处理,"单位或者个人编造虚假事实或者采取非法手段讨要农民工工资，或者以拖欠农民工工资为名讨要工程款的，依法予以处理。","虚假事实,非法手段,讨要工程款","风险识别",预警触发,待录入JSON
040,工资条例第53条,保障农民工工资支付条例,法律责任总则,"违反本条例规定拖欠农民工工资的，依照有关法律规定执行。","拖欠工资,法律责任","法律责任",程序依据,待录入JSON
041,工资条例第54条,保障农民工工资支付条例,一般违法行为处罚,"有下列情形之一的，由人力资源社会保障行政部门责令限期改正；逾期不改正的，对单位处2万元以上5万元以下的罚款，对法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处1万元以上3万元以下的罚款：（一）以实物、有价证券等形式代替货币支付农民工工资；（二）未编制工资支付台账并依法保存，或者未向农民工提供工资清单；（三）扣押或者变相扣押用于支付农民工工资的银行账户所绑定的农民工本人社会保障卡或者银行卡。","实物支付,有价证券,工资台账,工资清单,银行卡扣押,罚款","法律责任,合规审查",治理建议,待录入JSON
042,工资条例第55条,保障农民工工资支付条例,严重违法行为处罚,"有下列情形之一的，由人力资源社会保障行政部门、相关行业工程建设主管部门按照职责责令限期改正；逾期不改正的，责令项目停工，并处5万元以上10万元以下的罚款；情节严重的，给予施工单位限制承接新工程、降低资质等级、吊销资质证书等处罚：（一）施工总承包单位未按规定开设或者使用农民工工资专用账户；（二）施工总承包单位未按规定存储工资保证金或者未提供金融机构保函；（三）施工总承包单位、分包单位未实行劳动用工实名制管理。","责任识别,专用账户,工资保证金,实名制管理,责令停工,罚款,限制承接新工程,降低资质,吊销资质","法律责任,合规审查,惩戒措施",治理建议,待录入JSON
043,工资条例第56条,保障农民工工资支付条例,一般违规行为处罚,"有下列情形之一的，由人力资源社会保障行政部门、相关行业工程建设主管部门按照职责责令限期改正；逾期不改正的，处5万元以上10万元以下的罚款：（一）分包单位未按月考核农民工工作量、编制工资支付表并经农民工本人签字确认；（二）施工总承包单位未对分包单位劳动用工实施监督管理；（三）分包单位未配合施工总承包单位对其劳动用工进行监督管理；（四）施工总承包单位未实行施工现场维权信息公示制度。","工资支付表,监督管理,维权信息公示,罚款","法律责任,合规审查",治理建议,待录入JSON
044,工资条例第57条,保障农民工工资支付条例,建设单位违法行为处罚,"有下列情形之一的，由人力资源社会保障行政部门、相关行业工程建设主管部门按照职责责令限期改正；逾期不改正的，责令项目停工，并处5万元以上10万元以下的罚款：（一）建设单位未依法提供工程款支付担保；（二）建设单位未按约定及时足额向农民工工资专用账户拨付工程款中的人工费用；（三）建设单位或者施工总承包单位拒不提供或者无法提供工程施工合同、农民工工资专用账户有关资料。","建设单位,支付担保,人工费用拨付,工程施工合同,专用账户资料,责令停工,罚款","发包方责任,法律责任",治理建议,待录入JSON
045,工资条例第58条,保障农民工工资支付条例,不配合查询处罚,"不依法配合人力资源社会保障行政部门查询相关单位金融账户的，由金融监管部门责令改正；拒不改正的，处2万元以上5万元以下的罚款。","金融账户查询,不配合,罚款","法律责任",程序依据,待录入JSON
046,工资条例第59条,保障农民工工资支付条例,政府投资项目资金不到位责任,"政府投资项目政府投资资金不到位拖欠农民工工资的，由人力资源社会保障行政部门报本级人民政府批准，责令限期足额拨付所拖欠的资金；逾期不拨付的，由上一级人民政府人力资源社会保障行政部门约谈直接责任部门和相关监管部门负责人，必要时进行通报，约谈地方人民政府负责人。情节严重的，对地方人民政府及其有关部门负责人、直接负责的主管人员和其他直接责任人员依法依规给予处分。","政府投资项目,资金不到位,责令拨付,约谈,通报,处分","法律责任,政府责任",治理建议,待录入JSON
047,工资条例第60条,保障农民工工资支付条例,政府投资项目建设单位责任,"政府投资项目建设单位未经批准立项建设、擅自扩大建设规模、擅自增加投资概算、未及时拨付工程款等导致拖欠农民工工资的，除依法承担责任外，由人力资源社会保障行政部门、其他有关部门按照职责约谈建设单位负责人，并作为其业绩考核、薪酬分配、评优评先、职务晋升等的重要依据。","政府投资项目,未经批准,擅自扩大规模,未及时拨付,约谈,业绩考核","发包方责任,法律责任",治理建议,待录入JSON
048,工资条例第61条,保障农民工工资支付条例,社会投资项目违法建设责任,"对于建设资金不到位、违法违规开工建设的社会投资工程建设项目拖欠农民工工资的，由人力资源社会保障行政部门、其他有关部门按照职责依法对建设单位进行处罚；对建设单位负责人依法依规给予处分。相关部门工作人员未依法履行职责的，由有关机关依法依规给予处分。","社会投资项目,资金不到位,违法开工,处罚,处分","法律责任,发包方责任",治理建议,待录入JSON
049,工资条例第62条,保障农民工工资支付条例,工作人员渎职责任,"县级以上地方人民政府人力资源社会保障、发展改革、财政、公安等部门和相关行业工程建设主管部门工作人员，在履行农民工工资支付监督管理职责过程中滥用职权、玩忽职守、徇私舞弊的，依法依规给予处分；构成犯罪的，依法追究刑事责任。","滥用职权,玩忽职守,徇私舞弊,处分,刑事责任","法律责任",程序依据,待录入JSON
050,工资条例第63条,保障农民工工资支付条例,应急周转金,"用人单位一时难以支付拖欠的农民工工资或者拖欠农民工工资逃匿的，县级以上地方人民政府可以动用应急周转金，先行垫付用人单位拖欠的农民工部分工资或者基本生活费。对已经垫付的应急周转金，应当依法向拖欠农民工工资的用人单位进行追偿。","应急周转金,先行垫付,逃匿,追偿","工资支付,资金保障",程序依据,待录入JSON
051,工资条例第64条,保障农民工工资支付条例,施行日期,"本条例自2020年5月1日起施行。","施行日期","程序信息",程序依据,待录入JSON
